ТИП;ДАТА;КАТЕГОРИЯ;СУММА;ОПИСАНИЕ
ДОХОД;2026-01-15;Еда;4000.0;
ДОХОД;2026-01-15;Развлечения;3000.0;
ДОХОД;2026-01-15;Коммунальные;2500.0;
РАСХОД;2026-01-15;Еда;300.0;
РАСХОД;2026-01-15;Еда;300.0;
РАСХОД;2026-01-15;Еда;200.0;
РАСХОД;2026-01-15;Развлечения;3000.0;
РАСХОД;2026-01-15;Коммунальные;3000.0;
РАСХОД;2026-01-15;Еда;300.0;
РАСХОД;2026-01-15;Еда;500.0;
РАСХОД;2026-01-15;Развлечения;3000.0;
РАСХОД;2026-01-15;Коммунальные;3000.0;
РАСХОД;2026-01-15;Такси;1500.0;
ДОХОД;2026-01-15;Зарплата;20000.0;
ДОХОД;2026-01-15;Зарплата;40000.0;

БЮДЖЕТ;КАТЕГОРИЯ;СУММА
БЮДЖЕТ;Еда;4000.0
БЮДЖЕТ;Развлечения;3000.0
БЮДЖЕТ;Коммунальные;2500.0
